postcode,1,2,3,4,5,6,7,8,9,10,11,12
0,,370.0,400.0,,,495.0,345.0,,,500.0,,380.0
2000,,,,,859.3,,,,,,,
2008,,,,,,700.0,,,,,,
2010,,,,,,,,,,,720.0,
2018,680.0,,,,,,,,,,,
2046,,,,,700.0,,,,,,,
2065,,,,556.0,,,,,,,,
2067,,,,,,,,,,1200.0,,
2076,,,,,,,,,,1700.0,,
2094,,,,,,,,,,,1100.0,
2112,,470.0,457.0,,,,,,,,,
2113,660.0,,,,,,,,,,,650.0
2122,,,,,,,,,,960.0,,
2134,,,,,,,,,449.8,,800.0,
2140,424.5,450.0,680.0,,600.0,550.0,,,,,,
2150,505.5,477.65,,,,,505.5,,,,520.0,
2154,,,,,,390.0,,,,,,
2160,,,,650.0,,,,,,,,
2165,,,,500.0,,,,,,,,
2170,,,,,363.8,,,,,,,
2196,,,,,490.0,,,,,,,
2205,,,,,,,,,,,555.6,
2326,,,,,245.0,,,,,,,
2565,,,,,,,650.0,,,,,
2648,,,,,520.0,,,,,,100.0,
2715,,,,160.0,,220.0,,170.0,,,,
2731,370.0,1266.0,393.3333333333333,560.0,500.0,,1.8599999999999999,684.4833333333332,9.25,7.51,3.29,
2734,98.0,,,,,,,,,385.0,,
2736,,,,,,210.0,,,,,,
3000,399.9146010638298,440.7142729970326,400.72023391812866,384.85282958199355,405.07327759197324,383.77597014925374,381.955596707819,402.1196923076923,363.14593103448277,384.49044585987264,400.8600904977376,388.09575916230364
3002,654.1,524.5454545454545,562.0833333333334,465.7142857142857,633.3333333333334,673.8866666666667,482.0833333333333,628.0,525.0,745.161875,555.0,658.8
3003,437.1734482758621,396.91045454545457,423.3775,395.55559999999997,372.6692857142857,389.8209090909091,345.92857142857144,360.3066666666667,378.58625,390.10615384615386,421.808,370.1688888888889
3004,580.053962264151,481.3338888888889,429.9136842105263,514.2574999999999,556.0911428571428,574.7916666666666,503.95000000000005,660.6258333333334,559.448275862069,588.0769230769231,453.46666666666664,465.95875
3006,483.45260869565215,498.6740425531915,479.44516483516486,495.95272727272726,486.0817333333333,473.7075675675676,442.18735849056606,420.53117647058826,473.44307692307694,466.0596226415094,481.3682894736842,499.7535897435897
3008,428.58725609756095,443.7113559322034,630.5407751937985,443.017641509434,459.3698113207547,420.1663043478261,604.6058227848101,448.4031707317073,465.1335384615385,453.50441558441554,482.38242424242424,426.9846153846154
3011,365.275,301.95,406.2427272727273,379.2623076923077,399.8341666666667,559.375,2297.5469999999996,349.9225,333.3333333333333,484.44545454545454,353.1657142857143,410.97
3012,451.875,399.99875,407.0,320.0,319.7470588235294,411.6666666666667,386.774,397.5,406.69,380.0,410.8333333333333,370.0
