postcode,SA2_maincode_2021
3205,206051512
3206,206051512
3207,206051512
3004,206051512
3006,206051512
3000,206051512
3207,206051130
3000,206051130
3206,206051128
3004,206051128
3207,206051128
3141,206051128
3205,206051128
3000,206051128
3182,206051128
3002,206041119
3004,206041119
3000,206041119
3182,206051514
3206,206051514
3004,206051514
3181,206051514
3000,206051514
3184,206051514
3183,206051514
3141,206061516
3182,206061516
3004,206061516
3000,206061516
3006,206041509
3205,206041509
3004,206041509
3000,206041509
3184,206051129
3182,206051129
3182,206051513
3183,206051513
3184,206051513
3004,206051513
3181,206051513
3205,206051511
3207,206051511
3008,206051511
3006,206051511
3051,206041506
3003,206041506
3000,206041506
3053,206041506
3053,206041117
3000,206041117
3054,206041117
3004,206041117
3008,206041117
3525,206041117
3029,206041117
3193,208011173
3191,208011173
3188,208011173
3141,206061515
3000,206061515
3008,206061515
3000,206041505
3004,206041505
3205,206041505
3003,206041505
3065,206071142
3000,206071142
3056,206071142
3067,206071139
3121,206071139
3066,206071139
3185,208021179
3142,206061138
3181,206061138
3144,206061138
3181,206061136
3182,206061136
3143,206061136
3141,206061136
3183,206051134
3185,206051134
3182,206051134
3181,206051134
3121,206071517
3144,208041194
3146,208041194
3142,208041194
3145,208041194
3052,206041124
3051,206041124
3053,206041124
3008,206041118
0,206041118
3000,206041118
3006,206041118
3003,206041118
3161,208021177
3182,208021177
3183,208021177
3162,208021177
3145,208021177
3143,208021177
3013,213031352
3011,213031352
3162,208021178
3161,208021178
3145,208041195
3144,208041195
3057,206011106
3056,206011106
3188,208011172
3186,208011172
3187,208011172
3190,208011172
3141,206041125
3004,206041125
3000,206041125
3182,206041125
3181,206041125
3187,208011170
3186,208011170
3188,208011170
3192,208031188
3190,208031188
3204,208031188
3165,208021427
3204,208021427
3068,206071143
3066,206071143
3065,206071143
3057,206071143
3186,208011169
3122,207011519
3101,207011519
3123,207011519
3143,206061135
3142,206061135
3144,206061135
3205,206041508
3006,206041508
3000,206041508
3008,206041508
3003,206041510
3000,206041510
3051,206041510
3121,206071518
3000,206071518
3067,206071518
3040,206031501
3041,206031501
3042,206031501
3204,208021174
3187,208021174
3165,208021174
3066,206071141
3000,206071141
3065,206071141
3040,206031502
3000,206031502
3041,206031502
3000,206041507
3006,206041507
3004,206041507
3039,206031116
3040,206031116
3032,206031116
3000,206041503
3004,206041503
3053,206041503
3104,207011148
3103,207011148
3163,208021181
3145,208021181
3056,206011496
3057,206011496
3052,206011496
3055,206011496
3103,207011147
3127,207011147
3126,207011147
3104,207011147
3146,207011150
3123,207011150
3124,207011150
3147,207011150
3149,212051323
3150,212051323
3071,206021112
3070,206021112
3079,209011200
3054,206071140
3068,206071140
3053,206071140
3057,206071140
3750,206071140
3056,206071140
3190,208011171
3192,208011171
3191,208011171
3195,208031193
3194,208031193
3124,207011149
3122,207011149
3146,207011149
3127,207011149
3128,207011149
3070,206021499
3078,206021499
3068,206021499
3165,208021426
3204,208021426
3101,207011522
3102,207011522
3032,206031113
3163,208021176
3000,208021176
3162,208021176
3127,207031167
3128,207031167
3123,207011152
3122,207011152
3124,207011152
3029,213051362
3196,208031186
3166,212051326
3167,212051326
3168,212051326
3020,213011337
3163,208021182
3204,208021182
3187,208021182
3162,208021182
3134,211031266
3136,211031266
3147,207011146
3146,207011146
3025,213021343
3012,213021343
3018,213021343
3015,213021343
3068,206071145
3078,206071145
3102,207011154
3101,207011154
3166,208021180
3101,207011521
3102,207011521
3126,207011155
3127,207011155
3124,207011155
3108,207021157
3109,207021157
3107,207021157
3011,213031350
3012,213031350
3013,213031350
3129,207031164
3104,207031164
3128,207031164
3109,207021425
3108,207021425
3193,208011168
3192,208011168
3122,207011520
3123,207011520
3084,209011198
3085,209011198
3151,207031166
3125,207031166
3000,206041504
3004,206041504
3149,212051324
3178,211011256
3125,207031165
3127,207031165
3151,207031165
3147,212051319
3148,212051319
3125,212051319
3194,208031190
3192,208031190
3128,207031163
3129,207031163
3104,207031163
3072,209021429
3058,209021429
3073,209021429
3071,209021429
3978,212031556
3130,207031161
3105,207021156
3196,208031189
3195,208031189
3194,208031189
3056,206011495
3057,206011495
3079,209011201
3084,209011201
3130,207031162
3132,211041270
3111,211041270
3931,214021591
3029,214021591
3201,214021591
3199,214011373
3930,214021381
3201,214021381
3934,214021382
3931,214021382
3189,208031191
3202,208031191
3188,208031191
3078,206021110
3070,206021110
3198,214011375
3936,214021377
3931,214021592
3199,214011371
3198,214011371
3081,209011199
3079,209011199
3084,209011199
3111,211021261
3114,211021261
3134,211021261
3108,207021424
3109,207021424
3111,207021424
3107,207021160
3106,207021159
3108,207021159
3109,207021159
3031,206041121
3133,211041272
3173,212041566
3095,209031209
3088,209031209
3916,214021378
3928,214021378
3937,214021378
3926,214021378
3939,214021378
3929,214021378
3915,214021378
3939,214021384
3938,214021384
3940,214021384
3113,211021262
3115,211021262
3111,211021262
3910,214011374
3911,214011374
3197,208031185
3172,212041313
3011,213031348
3012,213031348
3025,213031348
3013,213031348
3031,213031348
