,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,school,university,garden,park,playground,pitch,surburb,postcode
0,11.0,41.0,4.0,17.0,3.0,30.0,40.0,6.0,1.0,,8.0,16.0,10.0,5.0,south melbourne,3205
1,45.0,32.0,1.0,20.0,1.0,118.0,16.0,3.0,3.0,,35.0,36.0,16.0,40.0,port melbourne,3207
2,139.0,144.0,6.0,59.0,7.0,289.0,172.0,24.0,12.0,2.0,171.0,118.0,53.0,137.0,albert park,3206
3,7.0,5.0,,2.0,2.0,,4.0,1.0,1.0,,,5.0,2.0,4.0,middle park,3206
4,102.0,19.0,,1.0,1.0,55.0,8.0,10.0,1.0,,30.0,23.0,4.0,8.0,east melbourne,3002
5,13.0,20.0,,8.0,,44.0,48.0,7.0,4.0,,23.0,26.0,9.0,41.0,st kilda,3182
6,40.0,26.0,,14.0,,28.0,46.0,8.0,6.0,,7.0,17.0,12.0,58.0,south yarra,3141
7,24.0,25.0,1.0,7.0,1.0,48.0,36.0,3.0,2.0,2.0,33.0,20.0,1.0,10.0,southbank,3006
8,,2.0,,,,1.0,1.0,1.0,,,,6.0,2.0,1.0,st kilda west,3182
9,2.0,12.0,,5.0,2.0,9.0,21.0,4.0,3.0,,3.0,11.0,6.0,11.0,elwood,3184
10,12.0,20.0,2.0,16.0,1.0,119.0,27.0,6.0,4.0,,3.0,19.0,4.0,8.0,north melbourne,3051
11,86.0,50.0,,10.0,1.0,128.0,86.0,6.0,2.0,8.0,46.0,28.0,6.0,11.0,melbourne,3004
12,8.0,4.0,,1.0,1.0,17.0,3.0,1.0,2.0,,,6.0,3.0,15.0,carlton,3053
13,19.0,60.0,1.0,14.0,3.0,73.0,90.0,4.0,4.0,1.0,2.0,15.0,9.0,1.0,black rock,3193
14,31.0,20.0,,8.0,1.0,56.0,13.0,4.0,3.0,,3.0,15.0,4.0,6.0,melbourne,3000
15,2.0,,,,,,,,,,,,,,fitzroy,3065
16,2.0,,,,,11.0,2.0,3.0,6.0,,6.0,7.0,1.0,293.0,abbotsford,3067
17,,6.0,,5.0,1.0,16.0,11.0,2.0,1.0,,1.0,18.0,6.0,8.0,elsternwick,3185
18,,,,,,4.0,,1.0,8.0,,,5.0,1.0,10.0,toorak,3142
19,85.0,47.0,2.0,19.0,2.0,101.0,52.0,7.0,10.0,,28.0,27.0,21.0,52.0,prahran,3181
20,3.0,10.0,,2.0,,19.0,7.0,2.0,6.0,,,7.0,3.0,46.0,st kilda east,3183
21,,,,,,,,,,,,,,,richmond,3121
22,108.0,30.0,,15.0,,76.0,5.0,4.0,2.0,12.0,59.0,49.0,8.0,80.0,malvern,3144
23,245.0,44.0,,24.0,1.0,84.0,62.0,,,,101.0,19.0,6.0,12.0,balaclava,3183
24,1.0,3.0,,1.0,,6.0,3.0,5.0,5.0,,1.0,3.0,4.0,96.0,parkville,3052
25,,,,,,,,,,,,1.0,,,docklands,3008
26,3.0,1.0,,,,2.0,,,,,,,,,caulfield north,3161
27,21.0,8.0,1.0,2.0,2.0,44.0,8.0,6.0,6.0,,4.0,36.0,17.0,64.0,yarraville,3013
28,41.0,12.0,1.0,12.0,2.0,42.0,25.0,8.0,6.0,,19.0,30.0,14.0,29.0,caulfield,3162
