,id
1,2783
4,17566
6,34735
8,4307
10,29954
11,6813
12,4450
13,16456
14,26667
15,24011
16,12060
19,7728
20,4786
21,26546
22,15360
23,7574
24,27231
25,3356
26,5565
28,8749
31,7261
32,345
33,17347
34,18654
35,18765
36,11842
43,2231
49,7537
51,4639
52,26671
55,3916
56,16025
58,11425
59,4311
62,3380
63,88
64,8668
65,20626
66,15964
67,16646
71,15779
72,27439
75,34777
84,26600
90,3940
102,3960
109,3703
114,31599
145,28211
151,29873
152,35366
153,4719
155,19
156,6216
157,11229
159,18825
162,3709
164,24371
166,10300
167,5484
168,13688
169,31967
170,17224
180,17661
181,7026
183,17337
189,23108
190,26721
191,8789
193,20742
195,21388
196,5247
197,21490
198,23934
199,23545
201,3558
203,26246
208,32935
209,26812
211,20483
212,20269
213,14969
214,19385
215,7896
218,23999
219,24974
220,26610
221,4757
222,31228
224,29855
228,27305
229,32445
233,3852
236,34310
239,20823
240,26282
243,16533
244,32851
246,29064
250,11870
251,22748
258,7797
259,20623
260,20444
261,24502
262,8145
266,15603
269,26631
277,27732
283,25056
289,18698
302,24355
315,15728
321,34967
324,26811
339,4718
340,27347
345,16216
352,3355
356,23170
360,8551
361,20795
362,29733
388,3719
393,19785
397,17215
400,5625
401,26902
402,32806
403,26976
407,35065
410,19601
433,32569
435,32745
438,29182
441,35720
448,29175
449,34396
450,20612
451,32951
452,17081
454,27902
473,12392
475,22880
494,21689
499,3945
520,12104
521,8554
560,15712
564,18220
566,18169
570,22398
571,232
574,175
575,27962
577,4850
579,308
580,29054
590,3934
592,22323
595,3915
596,16800
598,24081
600,18456
601,18492
603,22346
604,4278
607,28361
608,8251
609,11778
613,20536
617,3691
628,27709
630,22990
634,23497
647,7920
649,26351
650,3722
658,3959
660,122
665,29950
667,26856
705,21753
718,3388
735,12633
736,5639
749,28224
764,4478
765,16170
767,8153
768,12963
769,26687
770,15204
771,8167
775,7325
776,18851
777,20419
778,319
781,29875
782,27839
787,2795
803,2743
808,19896
816,8491
822,4371
823,3724
827,27883
828,33223
845,20095
911,27670
916,15054
926,32448
931,15424
933,30007
964,25810
994,30167
1005,21571
1008,5593
1009,18585
1014,3354
1026,32295
1031,18474
1041,33014
1071,3279
1113,3276
1121,20373
1125,31321
1128,33769
1131,31400
1148,18660
1158,3721
1160,34569
1201,31954
1206,20100
1211,33390
1234,34718
1239,33459
1257,30751
1281,33232
1286,23574
1290,6050
1312,20606
1316,31002
1377,18300
1388,13002
1423,190
1427,26636
1430,32932
1441,19308
1452,36083
1462,31493
1487,24840
1491,23904
1494,33008
1505,32831
1523,28509
1540,35391
1559,26706
1565,3530
1584,33160
1614,27796
1622,3711
1625,3428
1633,23085
1643,3714
1667,17841
1694,33205
1699,7964
1701,18881
1706,30678
1713,15184
1715,18105
1717,161
1719,28157
1721,35829
1725,383
1726,29371
1727,4339
1728,31244
1731,22647
1732,15950
1733,22440
1735,31049
1737,26100
1738,3524
1739,3601
1742,29196
1743,26921
1747,21901
1748,18501
1750,18650
1754,7914
1755,29197
1756,31107
1759,24956
1760,3909
1762,15332
1772,26737
1775,7510
1779,3704
1780,26073
1781,23730
1797,20157
1802,12105
1804,7625
1805,29609
1806,4665
1808,3599
1810,33000
1812,6518
1814,29878
1816,3923
1818,30211
1824,20164
1829,15914
1830,18659
1838,28477
1842,12356
1845,26438
1847,27598
1849,35681
1850,29444
1851,29905
1855,20963
1856,34332
1859,33756
1866,30082
1870,12106
1871,26786
1878,34590
1880,32899
1881,33611
1901,28353
1908,30051
1909,25820
1914,11515
1922,27854
1953,15409
1955,21971
1957,12157
1958,4698
1959,18680
1967,14660
1998,27541
2027,28108
2047,34804
2078,15987
2079,32688
2110,6525
2111,45
2113,33086
2115,18349
2116,11655
2118,5378
2128,13041
2132,17805
2134,18070
2137,25513
2138,26633
2144,23954
2147,28347
2155,273
2157,3712
2177,34290
2247,32762
2259,30107
2260,32686
2362,24300
