surburb,suburb_id
beechworth,3587
wandiligong,42077
cobram,9647
the patch,39857
marysville,25517
ballan,2247
myrniong,29597
elmore,13607
bolinda,4927
murchison north,29267
piedmont,32667
haven,18017
inglewood,19497
congupna,10057
inverleigh,19577
kinglake,21587
yarragon,45707
leitchville,23447
berriwillock,4247
woorinen south,45037
beaufort,3537
tungamah,40977
rupanyup,35167
woorinen,45007
murtoa,29467
underbool,41257
nelson,30307
bornes hill,5297
gnarwarre,16507
park orchards,32077
armstrong,1627
ravenswood,33827
cann river,7857
swan reach,38477
johnsonville,20117
fernbank,14357
ensay,13827
gunbower,17457
lockington,24137
caramut,8057
winslow,161957
winslow,44237
woolsthorpe,44887
lindenow,23837
carapook,8087
hexham,18577
new gisborne,30407
woodstock,44737
benwerrin,4157
oaklands junction,31517
koyuga,22237
lorne,24367
yarra junction,45677
toongabbie,40407
boolarra,5117
wallacedale,41887
casterton,8567
baddaginnie,2057
wedderburn,43077
goornong,16747
wandong,42147
tawonga,39377
cavendish,8807
dookie,12277
chesney vale,9027
rochester,34667
hawkesdale,18047
stratford,37877
sassafras,35697
heyfield,18597
gruyere,17437
trentham east,40807
menzies creek,26107
birregurra,4557
wonga park,44437
malmsbury,25037
healesville,18247
clunes,9507
rushworth,35177
macedon,24657
nar nar goon,29827
camperdown,7797
nyah west,31437
maryborough,25497
newmerella,30537
moorooduc,27687
yan yean,45527
pyalong,33647
hopetoun,19037
hopetoun,161877
colignan,9967
winton,44257
crossley,10827
beaconsfield upper,3457
kallista,20337
cobden,9617
nyah,31397
tresco west,40857
wattle glen,42957
mount macedon,28297
purnim,33607
barnawartha,2917
korumburra,22187
bridgewater on loddon,5917
ferny creek,14457
glenthompson,16487
narre warren north,30047
longwood,24347
omeo,31687
bulla,6657
kyneton,22387
kyabram,22367
yarrambat,45747
thoona,39917
branxholme,5677
garfield,15257
chiltern,9087
the basin,39797
koo wee rup,21947
flowerdale,14677
blampied,4757
buckley,6537
yarra glen,45657
allansford,977
dartmouth,11367
main ridge,24937
trafalgar,40637
cape clear,7937
beenak,3597
nichols point,30667
heatherton,18327
creswick,10767
heywood,18617
port campbell,33207
blind bight,4777
kalorama,20347
tallangatta,38717
monbulk,27267
boisdale,4907
numurkah,31287
nicholson,30677
lancefield,22997
winchelsea,44087
mount evelyn,28237
tallarook,38767
upwey,41407
plenty,32887
ventnor,41467
seaspray,35917
lang lang,23027
shady creek,36137
wilsons hill,44047
mount dandenong,28157
mitchell park,51697
hurstbridge,19387
tecoma,39517
garvoc,15287
bannockburn,2727
aireys inlet,737
woodend north,44567
point lonsdale,32967
bruthen,6477
mount beauty,28017
nagambie,29707
metung,26457
connewarre,147107
connewarre,10077
labertouche,22457
glengarry,16147
violet town,41637
peterborough,32517
terang,39687
narrawong,29987
gisborne,15737
little river,24027
ouyen,31847
eagle point,12987
mortlake,27947
bunyip,7037
tawonga south,39407
beaconsfield,3417
neerim,30237
rosedale,34927
gembrook,15477
cockatoo,9777
wannon,42317
north warrandyte,31077
gerrigerrup,15577
tarcombe,39037
avonsleigh,1977
riddells creek,34347
curdievale,48327
montrose,27397
lakes entrance,22907
tahara bridge,38667
koroit,22147
yackandandah,45397
lovely banks,104367
lovely banks,24407
merbein south,26167
tatura,39327
churchill,9197
point leo,32957
romsey,34807
