,year,area_code,Total,SA2 code,SA2 name,Postcode
0,2001,21001,5756,21001,Alfredton,3350.0
0,2022,21001,18235,21001,Alfredton,3350.0
1,2001,21002,11497,21002,Ballarat,3350.0
1,2023,21001,19815,21002,Ballarat,3350.0
2,2001,21003,20268,21003,Ballarat - North,3350.0
2,2024,21001,21586,21003,Ballarat - North,3350.0
3,2001,21004,20424,21004,Ballarat - South,3350.0
3,2025,21001,23574,21004,Ballarat - South,3350.0
4,2001,21005,5320,21005,Buninyong,3350.0
4,2026,21001,25809,21005,Buninyong,3350.0
5,2001,21006,4154,21006,Delacombe,3351.0
5,2022,21002,11955,21006,Delacombe,3351.0
6,2001,21007,3317,21007,Smythes Creek,3351.0
6,2023,21002,11821,21007,Smythes Creek,3351.0
7,2001,21008,13355,21008,Wendouree - Miners Rest,3352.0
7,2024,21002,11675,21008,Wendouree - Miners Rest,3352.0
8,2001,21009,4900,21009,Bacchus Marsh Region,3340.0
8,2025,21002,11517,21009,Bacchus Marsh Region,3340.0
9,2001,21010,7467,21010,Creswick - Clunes,3352.0
9,2026,21002,11347,21010,Creswick - Clunes,3352.0
10,2001,21011,8201,21011,Daylesford,3363.0
10,2022,21003,24510,21011,Daylesford,3363.0
11,2001,21012,5350,21012,Gordon (Vic.),3333.0
11,2023,21003,24667,21012,Gordon (Vic.),3333.0
12,2001,21013,3151,21013,Avoca,3352.0
12,2024,21003,24819,21013,Avoca,3352.0
13,2001,21014,3809,21014,Beaufort,3325.0
13,2025,21003,24966,21014,Beaufort,3325.0
14,2001,21015,3875,21015,Golden Plains - North,3324.0
14,2026,21003,25108,21015,Golden Plains - North,3324.0
15,2001,21016,7742,21016,Maryborough (Vic.),3465.0
15,2022,21004,25535,21016,Maryborough (Vic.),3465.0
16,2001,21017,5375,21017,Maryborough Region,3370.0
16,2023,21004,25803,21017,Maryborough Region,3370.0
17,2001,21018,15549,21018,Bendigo,3550.0
17,2024,21004,26073,21018,Bendigo,3550.0
18,2001,21019,9453,21019,California Gully - Eaglehawk,3550.0
18,2025,21004,26345,21019,California Gully - Eaglehawk,3550.0
19,2001,21020,12682,21020,East Bendigo - Kennington,3550.0
19,2026,21004,26620,21020,East Bendigo - Kennington,3550.0
20,2001,21021,8823,21021,Flora Hill - Spring Gully,3550.0
20,2022,21005,7216,21021,Flora Hill - Spring Gully,3550.0
21,2001,21022,16792,21022,Kangaroo Flat - Golden Square,3555.0
21,2023,21005,7187,21022,Kangaroo Flat - Golden Square,3555.0
22,2001,21023,2708,21023,Maiden Gully,3551.0
22,2024,21005,7146,21023,Maiden Gully,3551.0
23,2001,21024,4134,21024,Strathfieldsaye,3551.0
23,2025,21005,7093,21024,Strathfieldsaye,3551.0
24,2001,21025,6171,21025,White Hills - Ascot,3550.0
24,2026,21005,7029,21025,White Hills - Ascot,3550.0
25,2001,21026,4976,21026,Bendigo Region - South,3444.0
25,2022,21006,11486,21026,Bendigo Region - South,3444.0
26,2001,21027,9358,21027,Castlemaine,3450.0
26,2023,21006,12433,21027,Castlemaine,3450.0
27,2001,21028,7724,21028,Castlemaine Region,3364.0
27,2024,21006,13495,21028,Castlemaine Region,3364.0
28,2001,21029,3895,21029,Heathcote,3444.0
28,2025,21006,14688,21029,Heathcote,3444.0
29,2001,21030,7941,21030,Kyneton,3435.0
29,2026,21006,16030,21030,Kyneton,3435.0
30,2001,21031,5915,21031,Woodend,3437.0
30,2022,21007,4251,21031,Woodend,3437.0
31,2001,21032,3900,21032,Bendigo Region - North,3551.0
31,2023,21007,4289,21032,Bendigo Region - North,3551.0
32,2001,21033,8033,21033,Loddon,3463.0
32,2024,21007,4326,21033,Loddon,3463.0
33,2001,21034,2569,21034,Bannockburn,3221.0
33,2025,21007,4362,21034,Bannockburn,3221.0
34,2001,21035,5111,21035,Golden Plains - South,3221.0
34,2026,21007,4397,21035,Golden Plains - South,3221.0
35,2001,21036,5418,21036,Winchelsea,3216.0
35,2022,21008,15487,21036,Winchelsea,3216.0
36,2001,21037,14160,21037,Belmont,3216.0
