OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP
"1","19970",Royal Park Railway Station (Parkville),-37.781193,144.952301,"1",Upfield
"2","19971",Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,"1",Upfield
"3","19972",Macaulay Railway Station (North Melbourne),-37.794267,144.936166,"1",Upfield
"4","19973",North Melbourne Railway Station (West Melbourne),-37.807419,144.94257,"1","Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn"
"5","19974",Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,"1","Mernda,Hurstbridge"
"6","19975",Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,"1","Mernda,Hurstbridge"
"7","19976",Collingwood Railway Station (Abbotsford),-37.804526,144.99375,"1","Mernda,Hurstbridge"
"8","19977",North Richmond Railway Station (Richmond),-37.810398,144.9925,"1","Mernda,Hurstbridge"
"9","19978",West Richmond Railway Station (Richmond),-37.814949,144.991423,"1","Mernda,Hurstbridge"
"10","19979",Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,"1","Mernda,Hurstbridge"
"11","19983",Macleod Railway Station (Macleod),-37.726012,145.069143,"2",Hurstbridge
"12","19984",Watsonia Railway Station (Watsonia),-37.710958,145.083793,"2",Hurstbridge
"13","19985",Greensborough Railway Station (Greensborough),-37.703954,145.108247,"2",Hurstbridge
"14","19986",Montmorency Railway Station (Montmorency),-37.715296,145.121516,"2",Hurstbridge
"15","19987",Eltham Railway Station (Eltham),-37.71355,145.147822,"2",Hurstbridge
"16","19988",Diamond Creek Railway Station (Diamond Creek),-37.673297,145.158506,"2",Hurstbridge
"17","19989",Wattle Glen Railway Station (Wattle Glen),-37.663968,145.181615,"2",Hurstbridge
"18","19990",Hurstbridge Railway Station (Hurstbridge),-37.639398,145.192017,"2",Hurstbridge
"19","19991",Williamstown Railway Station (Williamstown),-37.867753,144.905323,"1",Williamstown
"20","19992",Williamstown Beach Railway Station (Williamstown),-37.863982,144.894484,"1",Williamstown
"21","19993",North Williamstown Railway Station (Williamstown),-37.857333,144.889069,"1",Williamstown
"22","19994",Newport Railway Station (Newport),-37.842718,144.8836,"1","Williamstown,Werribee"
"23","19995",Spotswood Railway Station (Spotswood),-37.830639,144.885933,"1","Williamstown,Werribee"
"24","19996",Yarraville Railway Station (Yarraville),-37.81585,144.889934,"1","Williamstown,Werribee"
"25","19997",Seddon Railway Station (Seddon),-37.809005,144.895672,"1","Williamstown,Werribee"
"26","20000",Watergardens Railway Station (Sydenham),-37.701129,144.77418,"2",Sunbury
"27","20001",Keilor Plains Railway Station (St Albans),-37.729279,144.793738,"2",Sunbury
"28","20002",St Albans Railway Station (St Albans),-37.744861,144.80005,"2",Sunbury
"29","20003",Ginifer Railway Station (St Albans),-37.760067,144.811348,"2",Sunbury
"30","20004",Albion Railway Station (Sunshine North),-37.777653,144.824704,"1,2",Sunbury
"31","20005",Epping Railway Station (Epping),-37.652187,145.031068,"2",Mernda
"32","20006",Lalor Railway Station (Lalor),-37.665851,145.017193,"2",Mernda
"33","20007",Thomastown Railway Station (Thomastown),-37.680338,145.014279,"2",Mernda
"34","20008",Keon Park Railway Station (Thomastown),-37.69487,145.011884,"2",Mernda
"35","20009",Ruthven Railway Station (Reservoir),-37.707898,145.009517,"2",Mernda
"36","20010",Reservoir Railway Station (Reservoir),-37.716885,145.006996,"1,2",Mernda
"37","20011",Regent Railway Station (Reservoir),-37.728403,145.002773,"1,2",Mernda
"38","20012",Preston Railway Station (Preston),-37.738674,145.000522,"1,2",Mernda
"39","20013",Bell Railway Station (Preston),-37.745562,145.000155,"1",Mernda
"40","20014",Thornbury Railway Station (Thornbury),-37.755052,144.998572,"1",Mernda
"41","20015",Croxton Railway Station (Northcote),-37.764101,144.997056,"1",Mernda
"42","20016",Northcote Railway Station (Northcote),-37.769865,144.995277,"1",Mernda
"43","20017",Merri Railway Station (Northcote),-37.777847,144.992972,"1",Mernda
"44","20019",Rushall Railway Station (Fitzroy North),-37.783217,144.992407,"1",Mernda
"45","20021",Sunshine Railway Station (Sunshine),-37.788536,144.832878,"1,2",Sunbury
"46","20022",Tottenham Railway Station (West Footscray),-37.799251,144.862945,"1",Sunbury
"47","20023",West Footscray Railway Station (West Footscray),-37.801803,144.883985,"1",Sunbury
"48","20024",Middle Footscray Railway Station (Footscray),-37.802505,144.891472,"1",Sunbury
"49","20025",Footscray Railway Station (Footscray),-37.801083,144.903199,"1","Werribee,Williamstown,Sunbury"
"50","20026",South Kensington Railway Station (Kensington),-37.799531,144.925469,"1","Williamstown,Werribee"
"51","20030",Broadmeadows Railway Station (Broadmeadows),-37.683049,144.919613,"2",Craigieburn
"52","20031",Jacana Railway Station (Glenroy),-37.695131,144.915851,"2",Craigieburn
"53","20032",Glenroy Railway Station (Glenroy),-37.704536,144.91722,"1,2",Craigieburn
"54","20033",Oak Park Railway Station (Oak Park),-37.71795,144.921519,"1,2",Craigieburn
"55","20034",Pascoe Vale Railway Station (Pascoe Vale),-37.730756,144.928196,"1,2",Craigieburn
"56","20035",Strathmore Railway Station (Strathmore),-37.743591,144.927316,"1",Craigieburn
"57","20036",Glenbervie Railway Station (Essendon),-37.74721,144.920939,"1",Craigieburn
"58","20037",Essendon Railway Station (Essendon),-37.756012,144.916198,"1",Craigieburn
"59","20038",Moonee Ponds Railway Station (Moonee Ponds),-37.765707,144.919161,"1",Craigieburn
"60","20039",Ascot Vale Railway Station (Ascot Vale),-37.775306,144.921821,"1",Craigieburn
"61","20040",Newmarket Railway Station (Flemington),-37.787328,144.928978,"1",Craigieburn
"62","20041",Kensington Railway Station (Kensington),-37.79378,144.930524,"1",Craigieburn
"63","20042",Box Hill Railway Station (Box Hill),-37.819222,145.121429,"2","Lilydale,Belgrave"
"64","22180",Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,"1","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
"65","40220",Roxburgh Park Railway Station (Roxburgh Park),-37.638231,144.935404,"2",Craigieburn
"66","40221",Craigieburn Railway Station (Craigieburn),-37.601817,144.94332,"2",Craigieburn
"67","44817",Coolaroo Railway Station (Coolaroo),-37.661003,144.926056,"2",Craigieburn
"68","45793",Lynbrook Railway Station (Lynbrook),-38.057341,145.249275,"2",Cranbourne
"69","45794",Cardinia Road Railway Station (Pakenham),-38.07129,145.437791,"2",Pakenham
"70","45795",South Morang Railway Station (South Morang),-37.649159,145.067032,"2",Mernda
"71","46468",Williams Landing Railway Station (Williams Landing),-37.869865,144.747445,"2",Werribee
"72","52095",Southland Railway Station (Cheltenham),-37.958756,145.049121,"2",Frankston
"73","52159",Middle Gorge Railway Station (South Morang),-37.644061,145.092144,"2",Mernda
"74","52160",Hawkstowe Railway Station (South Morang),-37.622995,145.097396,"2",Mernda
"75","52161",Mernda Railway Station (Mernda),-37.602548,145.100885,"2",Mernda
"76","15351",Sunbury Railway Station (Sunbury),-37.579091,144.727319,"2",Sunbury
"77","15353",Diggers Rest Railway Station (Diggers Rest),-37.627017,144.719922,"2",Sunbury
"78","19827",Stony Point Railway Station (Crib Point),-38.374235,145.221837,"2",Stony Point
"79","19828",Crib Point Railway Station (Crib Point),-38.366123,145.204043,"2",Stony Point
"80","19829",Morradoo Railway Station (Crib Point),-38.354033,145.189602,"2",Stony Point
"81","19830",Bittern Railway Station (Bittern),-38.33739,145.178027,"2",Stony Point
"82","19831",Hastings Railway Station (Hastings),-38.305659,145.18598,"2",Stony Point
"83","19832",Tyabb Railway Station (Tyabb),-38.259815,145.186401,"2",Stony Point
"84","19833",Somerville Railway Station (Somerville),-38.225342,145.176245,"2",Stony Point
"85","19834",Baxter Railway Station (Baxter),-38.194043,145.160526,"2",Stony Point
"86","19835",Glen Iris Railway Station (Glen Iris),-37.859308,145.058225,"1",Glen Waverley
"87","19836",Leawarra Railway Station (Frankston),-38.152034,145.139534,"2",Stony Point
"88","19837",Darling Railway Station (Malvern East),-37.868957,145.062951,"1,2",Glen Waverley
"89","19838",East Malvern Railway Station (Malvern East),-37.87693,145.069393,"1,2",Glen Waverley
"90","19839",Holmesglen Railway Station (Malvern East),-37.874402,145.090662,"1,2",Glen Waverley
"91","19840",Jordanville Railway Station (Mount Waverley),-37.873603,145.11209,"2",Glen Waverley
"92","19841",Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,"1","Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein"
