Name	Suburb	Stores Number	Location
206 BOURKE STREET Victoria	 Melbourne	 stores: 16	 GPS: -37.812733,144.966947
ACLAND COURT SHOPPING CENTRE Victoria	 St Kilda	 stores: 13	 GPS: -37.868967,144.980617
ALTONA GATE SHOPPING CENTRE Victoria	 Melbourne	 stores: 83	 GPS: -37.828989,144.84627
BALNARRING VILLAGE SHOPPING CENTRE Victoria	 Balnarring	 stores: 29	 GPS: -38.373199,145.12501
BARKLY SQUARE Victoria	 Brunswick	 stores: 46	 GPS: -37.775695,144.962004
BARRABOOL HILLS PLAZA Victoria	 Geelong	 stores: 11	 GPS: -38.161872,144.305826
BAYSIDE SHOPPING CENTRE Victoria	 Frankston	 stores: 279	 GPS: -38.141951,145.124068
BELLARINE VILLAGE SHOPPING CENTRE Victoria	 Newcomb	 stores: 24	 GPS: -38.168784,144.388547
BELLPOST SHOPPING CENTRE Victoria	 Geelong	 stores: 10	 GPS: -38.089309,144.336645
BELMONT VILLAGE Victoria	 Belmont	 stores: 14	 GPS: -38.170104,144.349107
BENDIGO MARKETPLACE Victoria	 Bendigo	 stores: 100	 GPS: -36.765765,144.280743
BENTONS SQUARE SHOPPING CENTRE Victoria	 Mornington	 stores: 46	 GPS: -38.245416,145.048067
BERWICK MARKETPLACE Victoria	 Berwick	 stores: 7	 GPS: -38.02951,145.346619
BIRALLEE VILLAGE SHOPPING CENTRE Victoria	 Wodonga	 stores: 17	 GPS: -36.127763,146.86482
BOURKE STREET MALL Victoria	 Melbourne	 stores: 40	 GPS: -37.813538,144.964386
BOX HILL CENTRAL Victoria	 Box Hill	 stores: 201	 GPS: -37.818677,145.12179
BRAND SMART PREMIUM OUTLET CENTRE Victoria	 Nunawading	 stores: 39	 GPS: -37.819375,145.1714718
BRANDON PARK SHOPPING CENTRE Victoria	 Wheelers Hill	 stores: 90	 GPS: -37.905522,145.161647
BRAYBROOK SHOPPING CENTRE Victoria	 Braybrook	 stores: 9	 GPS: -37.782172,144.86422
BRIMBANK CENTRAL SHOPPING CENTRE Victoria	 Deer Park	 stores: 119	 GPS: -37.751223,144.775276
BROADMEADOWS SHOPPING CENTRE Victoria	 Broadmeadows	 stores: 193	 GPS: -37.680244,144.91953
BULLEEN PLAZA Victoria	 Bulleen	 stores: 58	 GPS: -37.76613,145.091637
BURNSIDE HUB Victoria	 Burnside	 stores: 19	 GPS: -37.75938,144.753677
BURWOOD ONE SHOPPING CENTRE Victoria	 Burwood East	 stores: 50	 GPS: -37.853784,145.149761
CAMBERWELL SUNDAY MARKET Victoria	 Camberwell	 stores: 53	 GPS: -37.82931,145.058043
CAMPBELLFIELD PLAZA Victoria	 Melbourne	 stores: 22	 GPS: -37.689343,144.960737
CANTERBURY GARDENS SHOPPING CENTRE Victoria	 Bayswater	 stores: 7	 GPS: -37.822732,145.301494
CARNEGIE CENTRAL Victoria	 Carnegie	 stores: 21	 GPS: -37.884786,145.058444
CAULFIELD PLAZA SHOPPING CENTRE Victoria	 Caulfield East	 stores: 27	 GPS: -37.876146,145.04284
CENTRAL SQUARE SHOPPING CENTRE Victoria	 Altona Meadows	 stores: 52	 GPS: -37.873122,144.776038
CENTRAL WEST SHOPPING CENTRE Victoria	 Braybrook	 stores: 46	 GPS: -37.793489,144.861609
CENTRO SUNSHINE MARKETPLACE Victoria	 Sunshine	 stores: 82	 GPS: -37.78187,144.831506
CENTURY CITY WALK Victoria	 Glen Waverley	 stores: 11	 GPS: -37.881427,145.164632
CHADSTONE THE FASHION CAPITAL Victoria	 Chadstone	 stores: 477	 GPS: -37.886038881076,145.08346106348
CHIRNSIDE HOMEMAKER CENTRE Victoria	 Chirnside Park	 stores: 10	 GPS: -37.765247,145.305655
CHIRNSIDE PARK SHOPPING CENTRE Victoria	 Chirnside Park	 stores: 110	 GPS: -37.758258,145.313972
CIVIC SQUARE SHOPPING CENTRE Victoria	 Croydon	 stores: 18	 GPS: -37.799301795285,145.28299318557
COBURG HILL SHOPPING CENTRE Victoria	 Coburg North	 stores: 6	 GPS: -37.729625,144.983537
COLLINS PLACE Victoria	 Melbourne	 stores: 45	 GPS: -37.814312,144.97268
COLLINS234 BOUTIQUE PLACE Victoria	 Melbourne	 stores: 15	 GPS: -37.815545,144.965749
CORIO VILLAGE SHOPPING CENTRE Victoria	 Corio	 stores: 109	 GPS: -38.074772,144.355819
CRAIGIEBURN CENTRAL Victoria	 Craigieburn	 stores: 154	 GPS: -37.592986,144.912268
CRANBOURNE HOMEMAKER CENTRE Victoria	 Cranbourne	 stores: 30	 GPS: -38.085817,145.279178
CRANBOURNE PARK Victoria	 Cranbourne	 stores: 150	 GPS: -38.109657,145.282017
CROYDON CENTRAL SHOPPING CENTRE Victoria	 Croydon	 stores: 35	 GPS: -37.794026,145.278937
