,link,name,cost_text,coordinates,rooms,external_information,desc,bedroom,bathroom,parking,weekly_rent,postcode,bond
0,https://www.domain.com.au/upstairs-2c-staley-street-brunswick-vic-3056-13168913,Upstairs 2C Staley Street Brunswick VIC 3056,"$35,000 Annually","[-37.7655919, 144.9633048]","[['0 Beds'], ['0 Baths'], ['2 Parking']]",Date Available: Available NowInternal area 337m²,"1st floor offices/studios
Easy walking distance to Sydney Road and public transport
Ideal offices, dance studio, fitness studio, art studio
Includes tearoom, toilets, 2 undercover car-spaces
Approx 337sqm",0,0,2,673.0769230769231,3056,
1,https://www.domain.com.au/3502-14-16-the-esplanade-st-kilda-vic-3182-16002767,3502/14-16 The Esplanade St Kilda VIC 3182,"$6,000","[-37.8650177, 144.9746821]","[['3 Beds'], ['3 Baths'], ['3 Parking']]",Date Available: Available NowBond $36000,"Inspired by the interplay of timeless design and beach ambiance, Melbourne joins the ranks of Miami, Santa Monica, Saint-Tropez and Cannes with Saint Moritz Beachfront Residences. 
The brand-new development by GURNER reaches a level of architectural detail, amenity and service level that is the first of its kind on the global stage.",3,3,3,6000.0,3182,36000.0
2,https://www.domain.com.au/9-lansdowne-street-blairgowrie-vic-3942-12127675,9 Lansdowne Street Blairgowrie VIC 3942,"$5,000 per week","[-38.372703, 144.7856897]","[['3 Beds'], ['2 Baths'], ['3 Parking'], []]","Available from Friday, 23rd December 2022Bond $2500Land area 700m²",Phone enquiry code for this property : 2751,3,2,3,5000.0,3942,2500.0
3,https://www.domain.com.au/52-black-st-brighton-vic-3186-15410646,52 Black St Brighton VIC 3186,From $5500 per week,"[-37.9159452, 144.9989003]","[['3 Beds'], ['4 Baths'], ['3 Parking'], []]","Available from Tuesday, 1st November 2022Bond $20000Land area 900m²Internal area 294m²"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,4,3,5500.0,3186,20000.0
4,https://www.domain.com.au/4203-35-spring-street-melbourne-vic-3000-15939303,4203/35 Spring Street Melbourne VIC 3000,$4500 Per Week,"[-37.8141725, 144.9740049]","[['3 Beds'], ['2 Baths'], ['4 Parking']]",Date Available: Available NowBond $27000,"Possibly the most prestigious CBD address in the heart of the world's most liveable city, this unrivalled penthouse apartment is a residence of exceptional calibre and features unsurpassed views of the iconic Fitzroy Gardens, sporting precincts, river, ocean and beyond. Luxuriously appointed, the accommodation consists of an entry foyer capturing panoramic landmark aspects of the city, a spacious",3,2,4,4500.0,3000,27000.0
5,https://www.domain.com.au/335-the-esplanade-indented-head-vic-3223-12688424,335 The Esplanade Indented Head VIC 3223,"$3,775 wk $545 pn","[-38.1439923, 144.7147899]","[['4 Beds'], ['3 Baths'], []]",Date Available: Available NowBond $14000,This stylish 4 bedroom home will surely make your holiday one to remember.,4,3,0,3775.0,3223,14000.0
6,https://www.domain.com.au/50-south-wharf-drive-docklands-vic-3008-16048359,50 South Wharf Drive Docklands VIC 3008,$3750 per week,"[-37.8223967, 144.938237]","[['5 Beds'], ['6 Baths'], ['3 Parking']]","Available from Thursday, 1st September 2022Bond $16295","This spectacular five bedroom freehold waterfront residence can only be described as 'exceptional'. Designed over several levels to maximise the water views and its immediate wow factor, this impressive showpiece provides an imposing entry, a first class Miele kitchen with coffee machine, steamer oven, induction cooking, wine fridge &amp; integrated fridge/freezer with Italian Carrera marble benchtops",5,6,3,3750.0,3008,16295.0
7,https://www.domain.com.au/901-902-85-market-street-south-melbourne-vic-3205-14089455,901 & 902/85 Market Street South Melbourne VIC 3205,$3750.00 per week,"[-37.8301164, 144.9569041]","[['3 Beds'], ['3 Baths'], ['1 Parking']]",Date Available: Available Now," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",3,3,1,3750.0,3205,
8,https://www.domain.com.au/9-keith-court-brighton-vic-3186-16058214,9 Keith Court Brighton VIC 3186,"$3,500.00","[-37.9171837, 144.9882699]","[['5 Beds'], ['4 Baths'], ['5 Parking']]","Available from Monday, 5th September 2022Bond $21000",Melissa Gilder,5,4,5,3500.0,3186,21000.0
9,https://www.domain.com.au/7-haverbrack-avenue-malvern-vic-3144-16041473,7 Haverbrack Avenue Malvern VIC 3144,$3500 Per Week,"[-37.8534875, 145.0311415]","[['5 Beds'], ['4 Baths'], ['2 Parking']]",Date Available: Available NowBond $21000,Darren McMullin,5,4,2,3500.0,3144,21000.0
